Unnamed: 0,SMILES,QED,DBPP_SCORE,MolSkill,HADES,HADES_scs
170,O=C(Oc1ccc(c(c1)N(C)C)C)NC,0.805089577,0.518536318,0.3656721,0.2684097595298907,0.5107554018548909
171,O=C1NC(=O)C(C(=O)N1)(CC)C(C=CC)C,0.553530517,0.911304228,15.594417,0.9418000413838784,0.7959089863675157
172,c1ccc(cc1)NC(NCCCC)=S,0.58748862,0.996709222,15.041564,0.0114447728363947,0.16066502833572333
173,O=C(NC(=N)NC)Nc1c(cccc1C)C,0.4281358,0.81926568,15.182002,0.1949848249050819,0.4316702077152521
174,O=C(OC(C)C)c1ccccc1(OP(OC)(N)=S),0.662952605,0.077568632,7.8205285,0.7935473900828339,0.6789197037806227
175,O=C1C=C(OP(=O)(OC)OC)C=C(N1CC=C)C,0.58636599,0.00200327,14.121695,0.0241198996950662,0.17938301548898733
176,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1C,0.435431124,0.831249668,14.133788,0.3182545895810602,0.5647238106378636
177,O=C(Oc1nc(nc(c1)C)CCC)N(C)C,0.783634332,0.019512986,2.49086,0.1004556791544443,0.3157534695487595
178,O(c1ccc(OC)c(c1)CC(N)C)C,0.793163427,0.987051455,10.047972,0.1498750488766455,0.18982130881285356
179,O=P(Oc1ccccc1)(OCC)SCCC,0.682519098,0.108064834,15.112977,0.8189292383423936,0.30905156509889214
180,O=S(c1ccc(OP(OCC)(OCC)=S)cc1)C,0.724283339,0.912432878,15.873355,0.7663936162770918,0.44116458949530263
181,O=P(Oc1ccc(cc1)S(=O)(=O)C)(OCC)OCC,0.720496319,0.492408301,6.816528,0.8151943432975942,0.46193307567695
182,O(CC)P(CC)(=S)Sc1ccccc1C,0.723674183,0.604416575,5.481896,0.5080624597581321,0.20509586499532856
183,O=C1N=C(NC(=O)C1(CC)C(C)CCC)S,0.582743519,0.998425641,13.652098,0.6590047044064392,0.3145009029182685
184,O=C1N=C(O)NC(=O)C1(CC)C(C)CCC,0.710821048,0.999271097,16.122866,0.9974828173761776,0.5226982603840805
185,N(Nc1c(cccc1C)C)=C(N)N(C)C,0.437890873,0.869013321,22.966722,0.1211967443005678,0.1676341066828557
186,O=P(Oc1ccc(c(c1)C)SC)(OCC)NC,0.636096365,0.416158972,6.6247077,0.3103643753716791,0.36905560822141287
187,O=C1C=C(OP(OCC)(OCC)=S)C=C(N1C)C,0.753119425,0.041887739,14.09709,0.652085454719408,0.4949851303211491
188,n1c(nc(cc1C)C)SP(OCC)(OCCC)=S,0.562583628,0.045844755,3.8502293,0.190012348465841,0.24151910089937823
189,O=C1C=CC=NN1CSP(OC(C)C)(OC(C)C)=S,0.719392852,0.002444351,9.098667,0.2505824647913227,0.2862277422143115
190,n1c(OP(OCC)(OCC)=S)cc(nc1N(C)C)C,0.717372195,0.272189837,13.024214,0.5089226555412459,0.4258179071945566
191,N#CC(OC(=O)C)CCP(=O)(OCCCC)C,0.381009162,0.059153902,2.836576,0.0061070994783729,0.0848773524989402
192,O=C(ON=CC(C)(C)SC)N(C)SN1CCOCC1,0.335383864,0.011432335,12.581145,0.1545859606685597,0.22683160564066812
193,O=C(O)C(NC(=O)C(NC(=O)C(N)CCP(=O)(O)C)C)C,0.346977328,0.99963244,10.466533,0.6025383948565307,0.7193639701743265
194,O=NN(C(=O)NCCS(=O)(=O)N(CCC)CCC)CCCl,0.347981747,0.994123684,15.085162,0.0832026385733916,0.42253751954894064
195,O1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,0.455780647,0.999045557,26.142563,0.0875082184420974,0.1169592285532243
196,O1C2C1C3OC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl,0.471289491,0.999688904,37.39789,0.1396885116307426,0.17724347267056315
197,O=C(Oc1c2nc([nH]c2(cc(c1Cl)Cl))C(F)(F)F)N(C)C,0.85380587,0.015731414,-6.2278376,0.7560667161603272,0.5535202068923288
198,O=C1C=C(C(=O)c2cccc(O)c12)C,0.673930704,0.998490534,11.772136,0.4450222918304879,0.3888487367690859
199,O=C(c1ccc(cc1)C)CC(=O)C(F)(F)F,0.590579833,0.999107478,3.0882034,0.1820177568025868,0.2701428028837549
200,O=C1C=CC(=O)N1c2ccccc2C,0.623426465,0.994471048,7.250404,0.8741626964435828,0.40322306817415193
